M,C
0,9
1,19
2,29
3,39
4,49
5,59
6,69
7,79
8,89
9,99
10,109
11,119
12,129
13,139
14,149
15,159
16,169
17,179
18,189
19,199
20,209
21,219
22,229
23,239
24,249
25,259
26,269
27,279
28,289
29,299
30,309
31,319
32,329
33,339
34,349
35,359
36,369
37,379
38,389
39,399
40,409
41,419
42,429
43,439
44,449
45,459
46,469
47,479
48,489
49,499
50,509
51,519
52,529
53,539
54,549
55,559
56,569
57,579
58,589
59,599
60,609
61,619
62,629
63,639
64,649
65,659
66,669
67,679
68,689
69,699
70,709
71,719
72,729
73,739
74,749
75,759
76,769
77,779
78,789
79,799
80,809
81,819
82,829
83,839
84,849
85,859
86,869
87,879
88,889
89,899
90,909
91,919
92,929
93,939
94,949
95,959
96,969
97,979
98,989
99,999
